Genes,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62
Hsa.2739,7.798519881,7.563041238,9.084330924,8.042489012,8.505387716,9.011293544,8.66483491,8.289598749,8.109702615,8.751138544,8.894609009,7.906099223,7.75317145,7.642979835,8.198263629,7.37300123,8.02079001,7.003787189,7.700007829,8.931584891,7.627016043,7.371224398,8.527957446,8.675193895,8.148914429,8.131894291,8.342436748,8.455946276,8.897418058,8.658194203,9.001456775,8.440507528,8.400927626,8.311478798,8.049861721,7.642979835,9.193869887,7.671911958,7.973324269,6.854271199,7.363633166,7.523967847,6.985768502,7.215202613,8.319854913,7.694567955,6.317800626,8.518882182,7.919272795,8.236747971,8.404937585,7.075658564,7.487465343,7.16540952,7.607333894,6.904938535,7.994636291,7.044894674,7.508565389,7.401310335,7.616163441,7.924784733
Hsa1.305,8.494642065,8.103694752,8.309614239,8.033139657,7.873887599,6.772551904,8.496377685,7.966365899,8.461959936,7.459756823,8.143758436,8.117040613,7.809264024,7.867389352,8.006051844,7.930841283,8.949945287,8.532313188,8.828082214,7.846027168,8.608602999,7.888210019,7.992714532,8.11160687,8.046321361,8.285978615,8.148914429,8.044630318,8.226741577,8.630865396,7.919272795,9.080381297,8.264374493,7.322188396,9.153570827,8.036731081,7.873887599,8.175753155,7.25494783,8.17761886,7.909462465,7.308471152,8.117040613,8.617558703,7.766771466,8.511599642,7.224516775,7.127277141,7.950075146,7.746359365,8.335961528,8.281709466,7.921474339,6.5819076,7.911598811,7.141592982,7.262749571,8.11160687,8.300060973,7.846027168,8.396783605,7.764841635
Hsa.732,8.181835142,7.392836733,7.853623468,7.495963312,7.764841635,7.611010514,7.333608399,8.703048998,7.251549602,8.273356461,7.768923842,7.508565389,7.811117763,8.810410451,8.394975703,8.074582605,8.07102113,8.880111282,7.886301346,8.417617762,8.210043624,8.486009091,8.716947209,9.479565806,7.837302381,6.077201643,6.466500823,7.151988732,6.181740583,6.627089023,6.797487911,7.291418785,7.192571223,7.409035009,7.306633566,7.660780334,7.410585387,7.619792814,8.218927218,7.046671652,7.030028091,8.16181862,8.094350164,7.726321453,7.840353584,7.55743529,8.080021469,7.244663063,7.633673774,8.946531371,8.174119487,8.131894291,7.591905945,8.20031725,7.543522076,8.003575942,7.722474839,6.916176116,8.198263629,7.110962297,7.256560253,7.917229617
Hsa.34562,8.344436233,7.674905265,8.601228036,8.306963505,7.27584815,7.463803841,8.264374493,7.904332587,7.686172913,7.234270451,7.945139841,7.968048004,8.291651233,8.159747663,7.385890226,7.988362179,8.866110817,8.647095705,7.648168516,7.819681573,8.137725788,8.061135105,7.832178493,7.984850243,7.827293527,7.865337165,7.633673774,7.476227492,7.968048004,7.798519881,7.980980713,7.919272795,7.909462465,7.795329577,8.042489012,7.224516775,7.1962047,7.176279335,6.38840899,8.210043624,7.202559909,8.148914429,7.907785216,8.100541113,8.031160912,8.044630318,7.51606981,7.063920393,7.759864565,7.680088378,8.096291783,7.632043011,7.982779261,7.784463877,7.977196817,8.036731081,7.499364994,7.835299637,7.996360498,7.559348717,8.285978615,8.21678653
Hsa.5402,9.353828732,9.687543878,6.728091671,9.415618773,10.06630906,10.77084103,9.634275318,10.35891329,10.65383856,10.11500294,9.505177031,9.84007206,9.74716214,10.66370916,10.02314668,11.24603756,8.775685675,10.77084103,10.56539695,10.89912848,10.07217302,9.479565806,10.82183402,10.70126957,10.09420563,9.375202027,9.375202027,9.787344673,8.828082214,10.05457369,9.034035244,9.004873308,10.22545294,10.09420563,10.43814862,10.48088888,8.649342529,10.59684229,10.07217302,9.068010231,9.560880714,10.58717668,10.45759105,9.67635978,10.14933268,10.34123042,10.54503826,9.671824379,9.735765091,10.2351949,7.919272795,9.919152872,10.02314668,10.40126887,9.404237866,10.52482225,8.868680692,9.470919584,10.50361691,9.873864535,9.658603091,10.28176237
Hsa.3306,9.338937257,8.992430387,8.797005654,9.011293544,8.647095705,8.309614239,9.763245838,7.529053914,9.727550513,6.984247547,9.782453219,9.695625414,9.35816553,8.006051844,7.960428939,7.271928338,9.975409552,8.35955546,9.303721101,7.888210019,9.496367698,7.492972173,9.068010231,7.980980713,9.140171321,9.864054562,10.34968751,10.04250777,10.07217302,10.61909998,9.243884942,9.662399053,10.36667861,9.996889155,9.499967692,9.858818496,7.942946719,9.868422069,7.627016043,10.56539695,9.462797437,7.772392269,8.882320596,10.41931121,8.24290594,9.858818496,8.457860749,8.040541617,8.66483491,8.35955546,9.415618773,10.10194857,9.671824379,7.24290978,8.938852044,8.617558703,8.300060973,9.264425952,9.864054562,8.477107363,10.26541277,8.992430387
Hsa.7324,7.050384082,7.026327102,6.720009202,6.817210623,7.541837294,8.120981968,7.409035009,7.855598944,7.812859434,7.476227492,7.67672716,7.271928338,7.835299637,8.21678653,7.867389352,8.4450282,7.678533127,8.186176556,8.662659763,8.096291783,6.817210623,7.181798281,7.994636291,8.382241907,7.641067,6.749426135,7.173915652,7.066597899,6.45958762,7.146906128,7.120548937,7.792006219,8.080021469,7.392836733,6.888949418,7.853623468,5.787241181,8.845244691,7.992714532,7.846027168,7.036898545,7.884410825,7.733823368,7.407042936,7.17068913,7.788301556,7.284648754,6.941475527,7.439715622,8.018675808,8.587660787,8.689825554,7.215202613,7.964538375,7.314961058,7.782576606,7.261162257,7.385890226,8.614979909,7.010314234,8.059215351,7.93619623
Hsa.28914,8.941594792,8.029533927,8.350349668,7.884410825,8.266389851,8.017000538,8.967930906,8.453475097,9.203406816,7.800240279,8.637686548,8.059215351,8.934154538,8.023212419,7.391196461,7.65552149,8.919813887,8.751138544,8.916461716,8.204113574,8.50337182,7.986398089,7.763449057,7.977196817,8.035076659,9.119551134,8.408629008,7.977196817,8.845244691,8.543651785,8.373422994,8.705788994,8.554660638,8.518882182,8.589953721,8.08867114,8.348239131,7.977196817,7.014457884,8.654340369,8.139559604,8.302083892,8.083844727,8.033139657,7.731869723,8.739153972,7.387581007,7.51920631,8.324062199,7.895054347,8.271060089,7.932570059,8.705788994,7.847851466,8.107368118,8.096291783,7.988362179,9.034035244,8.055427642,7.964538375,8.488282018,7.942946719
Hsa.36010,8.724144138,7.988362179,8.839023923,8.317592775,8.382241907,8.836511084,8.820228383,8.797005654,8.17761886,8.15793853,8.224342502,7.823467916,8.651843902,8.516848222,8.245023588,8.284091235,8.250923382,7.782576606,8.748528862,8.603626345,8.408629008,8.453475097,8.19210824,8.786242748,6.970024225,7.8632151,7.270464137,7.666889422,8.059215351,7.812859434,8.09822315,7.668464132,7.744621198,6.994760364,8.573669174,7.525376829,7.459756823,6.959227951,6.073630225,8.649342529,7.777172578,8.289598749,7.8632151,8.212145685,7.563041238,8.224342502,7.322188396,6.445231164,7.891467206,8.20031725,8.769843708,9.334979662,8.141775895,7.534315435,8.538998044,8.238864658,8.19210824,7.59903698,8.919813887,7.827293527,8.317592775,7.650019834
Hsa.3194,9.38537676,10.17819337,8.413309221,8.697880066,9.102038766,8.93661467,10.07217302,8.53661133,8.59521717,8.791073065,11.24603756,9.950537319,9.483099647,8.065450881,8.614979909,7.828891962,8.662659763,8.222401511,9.004873308,8.868680692,9.243884942,9.133664692,8.067530644,7.971104987,9.264425952,10.02314668,9.873864535,9.300030704,9.459195271,9.887494317,8.589953721,10.16425877,10.26541277,9.549685937,9.362195894,9.508925058,10.60864622,9.116165762,7.773947421,8.946531371,9.156722483,8.103694752,9.065321447,8.525942562,9.288671499,9.382295256,9.098522438,7.968048004,8.980073685,8.863077682,8.745290472,9.163272287,8.277515387,6.550153452,9.782453219,8.145328209,7.793801511,10.15649252,8.660469829,8.830873977,8.394975703,8.836511084
Hsa.9691,9.062217654,8.246736768,9.039771207,9.243884942,10.61909998,10.22545294,8.894609009,8.64400336,9.404237866,8.820228383,8.754036199,8.53661133,9.615239242,10.12113701,8.941594792,9.505177031,10.66370916,9.382295256,10.00889506,9.950537319,8.922592075,8.329681343,9.404237866,9.353828732,9.653523236,8.413309221,8.277515387,9.183872256,8.174119487,8.541164704,8.719470523,8.614979909,9.180336299,9.418934267,8.610767086,9.143441643,9.366127938,9.516676372,7.512154232,7.053277786,7.569140207,9.180336299,9.080381297,8.891377536,8.509620506,8.934154538,9.521041869,8.229084711,7.79656824,9.046989305,8.868680692,8.804904374,8.565988956,9.232607379,7.316920884,8.630865396,9.276508672,8.527957446,8.903231228,5.559649696,7.053277786,6.964812232
Hsa.33843,8.204113574,7.618155752,7.16540952,7.418067502,7.257939812,7.342186528,7.588169367,7.928491631,7.249445341,7.480159562,8.152674928,7.766771466,8.284091235,8.240969783,7.16540952,6.787076843,8.413309221,8.413309221,7.720450591,7.939724225,7.875612627,7.913684714,7.447221902,7.969530424,7.480159562,7.812859434,7.682179079,7.632043011,7.505072637,7.668464132,8.042489012,7.982779261,7.551542065,7.768923842,7.934195924,7.20444651,7.512154232,7.066597899,7.42323115,8.150741456,7.207669333,8.632833417,8.127393645,8.279415128,7.678533127,8.331489102,7.555297895,7.591905945,8.546409083,8.530428363,8.069186408,7.990432488,7.835299637,7.99992001,8.340791957,8.025278903,7.595513767,8.188134954,7.971104987,8.253288609,8.477107363,8.423900717
Hsa.3135,8.196096796,7.93619623,8.008233418,7.988362179,7.071983016,7.984850243,8.417617762,8.408629008,7.499364994,7.805619071,8.240969783,8.245023588,7.347344182,8.040541617,7.595513767,7.637274611,8.329681343,8.760952219,7.917229617,8.171852316,8.069186408,7.998354761,8.329681343,7.966365899,7.938030574,7.536045378,7.485682611,7.650019834,7.335060369,7.859085863,7.10297639,7.612936253,7.65368069,6.898411223,8.107368118,7.369429896,6.814910085,7.356566981,7.434996723,7.514025514,7.917229617,8.234382491,8.373422994,8.236747971,8.146926652,8.340791957,7.807533586,7.534315435,7.898922173,8.208751186,8.474751997,7.951655095,7.577962339,7.846027168,7.792006219,7.600933211,7.551542065,7.954598775,8.184219496,7.47478143,8.486009091,8.316072732
Hsa.45499,9.587964687,8.559191418,9.901126495,8.760952219,9.521041869,10.00192298,9.024599489,10.87455307,10.31740058,9.300030704,9.606129657,9.225100126,9.846233717,9.624370681,9.880658867,9.796862044,11.00494963,9.925144507,9.975409552,10.14344946,8.434434528,8.845244691,11.00494963,9.925144507,9.615239242,8.956027134,8.7221316,9.98284411,8.7004207,8.788755689,10.14933268,9.682219299,10.05457369,9.695625414,9.279102424,9.542700835,8.807309733,9.334979662,8.061135105,7.764841635,8.589953721,8.647095705,8.527957446,8.708504327,7.660780334,9.763245838,8.472457636,8.319854913,5.778454477,6.199387387,6.414501116,9.430693992,7.696841923,8.376023834,7.802165068,8.786242748,8.7004207,7.758111432,9.350441283,7.439715622,8.687494777,8.50337182
Hsa1.1920,8.874443006,8.614979909,8.810410451,8.396783605,8.371641764,8.052213929,8.913698706,9.102038766,6.920391277,8.422010493,7.652164945,6.946585608,8.737275151,8.687494777,9.508925058,8.724144138,7.951655095,8.107368118,7.582909223,8.570555354,8.614979909,8.630865396,7.746359365,8.967930906,6.699320569,6.042153594,6.073630225,6.199387387,7.04311727,6.220136447,7.088827554,6.758418814,6.723844775,6.226107601,6.232809276,6.243456566,7.322188396,7.218696811,7.630393963,7.190874482,6.932043259,6.386410464,7.160186983,6.466500823,6.637272273,6.483514155,6.806003841,6.623182948,8.291651233,8.294176786,8.882320596,7.764841635,7.939724225,8.001657892,7.508565389,7.300469179,8.438301572,7.527287813,8.224342502,7.966365899,7.160186983,6.864575578
Hsa1.465,8.008233418,7.224516775,6.697615556,7.414460197,8.468583974,8.501070539,7.549443117,7.58654806,8.714387342,7.306633566,8.20210328,6.97612708,8.794176865,8.16181862,7.553535161,7.733823368,9.020672187,8.214622295,8.635363553,8.677464481,7.371224398,6.668173581,8.388632574,7.994636291,8.226741577,7.686172913,7.759864565,7.768923842,6.954485271,7.652164945,7.463803841,7.980980713,8.546409083,7.648168516,7.873887599,8.509620506,7.350531466,8.703048998,8.271060089,8.498479295,7.904332587,8.322193486,7.308471152,7.973324269,6.793509967,8.714387342,8.451132659,7.33659294,7.938030574,7.865337165,8.35955546,8.882320596,8.516848222,8.129558067,8.331489102,8.322193486,8.113457362,7.805619071,7.93619623,7.55743529,7.595513767,7.968048004
Hsa.1515,7.756684365,9.109744313,10.00889506,9.153570827,8.660469829,8.018675808,8.817628415,9.140171321,7.41592028,8.695484259,6.937576003,9.671824379,8.163556352,8.775685675,8.697880066,8.820228383,8.198263629,7.218696811,7.942946719,8.048079,7.971104987,8.786242748,7.445335305,7.956244054,7.209453366,7.65552149,8.386062732,8.279415128,7.45804008,7.670083968,9.782453219,7.67672716,6.604485079,8.538998044,7.62330923,7.401310335,7.709543009,6.697615556,9.713562791,8.291651233,9.404237866,8.882320596,8.941594792,7.309926633,8.311478798,6.770650041,7.20444651,8.971341904,9.020672187,9.342584781,8.196096796,7.821519926,8.677464481,9.140171321,8.872171928,8.794176865,10.43018679,9.133664692,9.382295256,8.952799947,7.84386332,8.561881028
Hsa.36666,8.464166937,7.938030574,8.494642065,8.234382491,7.448984852,7.722474839,8.094350164,8.313852914,8.238864658,7.847851466,7.902840911,7.726321453,8.018675808,7.953225805,8.036731081,7.662625884,8.135973187,7.953225805,8.168207062,8.346159825,8.118895873,8.266389851,7.403528873,7.954598775,7.680088378,7.924784733,7.775353274,7.742608252,8.08867114,8.133821689,7.840353584,7.99992001,8.210043624,7.465584836,8.120981968,7.118827233,8.103694752,7.088827554,6.795738045,7.966365899,7.1962047,8.139559604,8.415351282,8.125645103,8.080021469,8.080021469,7.298780982,7.302345587,8.113457362,8.514452549,8.311478798,8.461959936,8.206331436,7.463803841,7.969530424,7.946662952,7.835299637,7.597290868,8.210043624,7.978713227,7.924784733,7.873887599
Hsa.2298,8.505387716,7.637274611,8.866110817,8.440507528,8.430427596,8.291651233,7.895054347,8.20210328,7.217066508,8.188134954,8.527957446,7.850177762,8.603626345,8.897418058,8.549084091,8.910869966,8.541164704,7.828891962,7.773947421,7.92670823,8.505387716,8.63988623,8.198263629,7.953225805,8.081939517,8.220768372,8.268391077,8.65617283,8.563906633,7.990432488,8.285978615,7.960428939,8.680084407,8.406811902,7.682179079,7.567141574,8.067530644,7.99992001,8.651843902,7.200876462,8.133821689,8.212145685,7.689449095,8.03877919,8.324062199,8.05745988,8.284091235,8.428452031,9.143441643,8.632833417,9.203406816,8.02079001,8.708504327,8.910869966,8.329681343,7.005577467,8.206331436,8.302083892,7.951655095,8.68229577,8.373422994,8.589953721
Hsa.22762,8.357051061,8.408629008,7.257939812,6.778935558,8.525942562,7.280936863,8.231172396,6.552212935,7.2303335,8.222401511,9.499967692,7.490827591,8.958624275,7.807533586,7.879848031,7.878195318,8.11160687,7.15842564,7.865337165,8.017000538,9.016974038,8.376023834,8.541164704,8.042489012,8.66483491,10.14344946,9.717693281,9.587964687,9.858818496,9.906949252,8.874443006,9.269855121,8.325617371,8.623155802,9.209238738,9.098522438,9.203406816,9.499967692,7.92670823,6.032047505,6.743442434,7.662625884,6.61510157,8.977667693,9.393018447,7.889937637,7.342186528,8.340791957,7.541837294,7.852100556,6.920391277,6.703620073,6.271101518,5.504564012,8.125645103,6.547581176,6.489273072,7.313171231,6.819219043,7.253074303,8.57592163,5.593011535
Hsa.318,8.402620827,8.601228036,7.176279335,8.169948432,8.362090172,7.044894674,8.392644264,7.652164945,8.96529834,8.125645103,9.957108362,8.521490896,7.739353807,7.646429802,7.224516775,7.026327102,8.726265411,8.810410451,8.96529834,7.718757127,8.268391077,8.090538462,8.459793833,7.950075146,7.758111432,7.977196817,7.741010227,8.440507528,8.434434528,8.573669174,7.517520813,8.413309221,8.131894291,7.680088378,8.311478798,7.724378522,8.420019963,7.607333894,7.311607704,8.882320596,8.585541692,8.468583974,7.44163367,9.219246213,8.249138691,8.820228383,8.442474691,7.917229617,8.856498322,7.988362179,7.597290868,8.316072732,7.88249613,7.342186528,8.155929707,7.139820327,6.613208432,8.4450282,7.385890226,8.754036199,8.466520557,8.137725788
Hsa.8080,6.932043259,6.840140352,7.414460197,7.222673391,7.737627889,7.982779261,7.682179079,7.919272795,7.800240279,7.241374292,7.136285008,6.982007283,6.987597767,7.282592255,7.878195318,7.917229617,7.616163441,7.775353274,7.47478143,7.837302381,6.232809276,6.882570085,7.65368069,7.946662952,7.579600616,6.964812232,6.819219043,6.941475527,7.035114805,6.300988681,7.160186983,9.846233717,7.178194169,7.148965257,6.99642884,7.861367111,6.756046191,8.159747663,7.945139841,6.943136777,7.021708963,7.270464137,7.476227492,7.412295301,7.392836733,7.492972173,7.65368069,7.286325236,7.452277116,7.705508651,8.059215351,7.65552149,7.58654806,7.88249613,7.178194169,7.51606981,7.865337165,6.884487636,7.418067502,7.146906128,7.705508651,7.582909223
Hsa.3098,7.975146253,7.956244054,8.236747971,7.763449057,7.259652158,7.264494057,8.210043624,8.50337182,7.495963312,7.830708402,7.879848031,8.16181862,8.428452031,8.24290594,7.494425934,7.32544909,8.812858399,8.934154538,8.048079,8.266389851,7.900776259,8.371641764,7.657162832,7.946662952,7.853623468,7.461721031,7.582909223,8.214622295,7.713000629,7.7866069,8.07102113,7.793801511,7.246181261,8.076362206,7.966365899,6.884487636,7.469035179,6.847869647,7.17068913,7.773947421,7.360539862,7.930841283,6.44066291,6.268625756,7.684273544,5.716893567,7.091024116,7.122375477,8.123058374,8.135973187,7.744621198,7.850177762,7.409035009,8.061135105,8.155929707,6.330607551,7.541837294,8.139559604,7.302345587,7.792006219,7.308471152,8.214622295
Hsa.5142,7.737627889,7.827293527,7.1962047,7.611010514,8.169948432,8.367746578,8.052213929,8.146926652,8.246736768,8.018675808,8.350349668,7.62330923,7.7866069,8.181835142,8.035076659,8.364022365,8.496377685,8.442474691,8.367746578,8.530428363,8.660469829,7.532564564,8.986787544,7.941511497,9.105664393,7.584771001,8.027254131,8.342436748,7.775353274,7.650019834,8.212145685,8.516848222,9.123467706,8.956027134,8.245023588,9.150367227,7.621433929,7.581358537,8.716947209,8.342436748,8.329681343,8.447097894,8.85334578,9.288671499,7.850177762,8.438301572,9.38537676,8.014949142,7.773947421,8.268391077,9.147197127,9.203406816,8.93661467,8.64200859,8.457860749,8.541164704,8.118895873,7.239758653,8.006051844,7.852100556,8.913698706,8.587660787
Hsa.2301,6.637272273,7.246181261,7.2303335,6.720009202,7.539514062,7.768923842,6.987597767,7.761786051,5.881123831,7.964538375,7.463803841,6.972107098,7.775353274,7.304630268,7.495963312,8.083844727,7.187267455,8.02079001,6.523921068,8.507626503,7.239758653,7.472669879,7.481894458,8.096291783,7.374852985,7.401310335,7.742608252,6.830121582,6.927928942,8.342436748,7.51606981,8.103694752,7.932570059,6.521521924,6.637272273,7.033435435,6.414501116,8.279415128,8.281709466,7.161964053,7.136285008,6.401135513,7.982779261,8.107368118,7.478238584,7.385890226,6.822989129,7.529053914,8.052213929,7.387581007,7.902840911,7.852100556,7.156161386,7.434996723,7.160186983,7.51606981,7.418067502,7.992714532,7.523967847,7.88249613,6.703620073,7.483794978
Hsa.27592,7.206050154,6.932043259,7.529053914,7.434996723,7.805619071,7.433283902,7.527287813,7.691173914,5.91671163,8.249138691,7.827293527,7.612936253,7.369429896,7.322188396,7.302345587,6.843773174,7.37960615,7.300469179,6.489273072,7.55743529,7.619792814,8.306963505,8.127393645,8.257831868,7.012213608,7.128922298,7.581358537,6.922136451,7.192571223,7.329760177,8.040541617,7.309926633,7.41592028,7.113370818,6.854271199,7.070195404,7.392836733,7.228969157,7.508565389,7.012213608,6.5819076,7.141592982,7.469035179,6.720009202,8.561881028,7.414460197,7.840353584,8.415351282,7.445335305,6.633344487,7.921474339,6.789518921,7.198657321,7.616163441,8.025278903,7.593903107,8.09822315,6.866491256,7.054970979,8.017000538,7.840353584,8.02079001
Hsa.26883,7.472669879,6.687306819,7.331506439,6.961040732,8.220768372,8.171852316,7.572669669,7.861367111,6.309319383,8.174119487,8.033139657,6.785286871,8.24290594,7.828891962,7.461721031,6.764375094,7.977196817,8.003575942,7.262749571,8.635363553,7.561132706,8.16181862,7.871238544,8.863077682,7.17068913,8.181835142,8.115266044,7.902840911,7.853623468,7.809264024,7.624670483,7.850177762,7.840353584,7.739353807,7.236301267,7.756684365,7.906099223,7.865337165,6.99642884,6.335903196,6.5819076,6.862325401,6.980062165,7.097344032,7.427064076,7.514025514,7.054970979,7.621433929,7.239758653,6.941475527,7.950075146,7.190874482,7.118827233,7.455634793,7.028187697,6.754018952,7.200876462,6.963104901,7.20444651,7.031554922,7.194358124,7.031554922
Hsa.2007,8.516848222,8.107368118,8.589953721,8.260015788,8.354852941,8.014949142,8.35955546,8.212145685,7.418067502,8.118895873,8.514452549,7.70162954,8.422010493,8.033139657,8.50337182,8.234382491,7.800240279,7.563041238,7.264494057,8.346159825,8.231172396,8.32742588,8.470475857,7.939724225,8.457860749,7.954598775,8.245023588,8.008233418,8.697880066,8.319854913,8.561881028,8.117040613,8.711193463,8.194081649,7.671911958,7.684273544,9.094830707,7.953225805,8.07102113,8.614979909,7.304630268,7.777172578,8.346159825,8.210043624,8.260015788,8.194081649,8.684767281,8.637686548,8.833901567,8.081939517,8.836511084,7.948603673,8.159747663,8.279415128,8.413309221,8.127393645,8.376023834,7.720450591,7.728156421,8.422010493,7.980980713,8.224342502
Hsa1.168,9.350441283,8.608602999,7.992714532,8.573669174,8.154216248,7.0517808,8.145328209,7.190874482,9.76855173,7.621433929,7.132890227,8.505387716,8.287739186,8.036731081,7.948603673,8.76376601,8.903231228,7.722474839,8.760952219,6.781122771,8.516848222,8.212145685,8.400927626,7.938030574,8.894609009,8.426076694,8.672734425,10.01639585,9.479565806,8.447097894,8.828082214,7.731869723,7.878195318,9.102038766,9.393018447,8.442474691,8.623155802,8.608602999,7.429027364,8.894609009,9.279102424,7.418067502,8.05393026,7.505072637,7.960428939,8.294176786,8.081939517,8.440507528,7.058274594,7.271928338,7.472669879,7.891467206,8.559191418,8.610767086,8.159747663,7.616163441,8.748528862,8.93661467,8.505387716,8.168207062,8.797005654,7.480159562
Hsa.11765,8.573669174,8.094350164,9.587964687,8.767093031,8.029533927,7.711181803,8.07102113,8.014949142,7.889937637,7.401310335,6.882570085,8.127393645,7.828891962,7.915176794,7.982779261,8.780664641,8.196096796,8.023212419,7.763449057,6.795738045,8.080021469,8.188134954,8.32742588,7.932570059,8.174119487,7.70162954,8.15793853,8.413309221,8.090538462,7.915176794,10.11500294,6.924176528,6.904938535,8.300060973,7.816226012,7.630393963,8.194081649,7.443083907,8.660469829,8.171852316,9.400878404,8.031160912,7.505072637,7.382610082,7.984850243,7.1962047,7.407042936,7.795329577,8.17761886,8.703048998,8.268391077,7.904332587,8.415351282,8.649342529,8.129558067,7.825552793,9.84007206,9.322722304,7.960428939,7.904332587,8.428452031,8.551822356
Hsa.977,7.058274594,6.471512648,7.384352064,6.920391277,7.722474839,7.795329577,7.318493245,7.495963312,7.318493245,7.261162257,6.978203012,6.426873415,7.728156421,7.371224398,7.24290978,7.418067502,8.432314241,8.708504327,8.15793853,7.401310335,6.945026534,6.206119495,8.658194203,8.623155802,7.256560253,6.692114879,6.799933327,7.261162257,6.803899872,6.886605212,6.966404045,7.709543009,7.146906128,7.570792199,6.609240709,7.746359365,7.418067502,7.900776259,7.668464132,7.035114805,7.082664136,7.559348717,7.178194169,7.116949255,6.811046271,7.077246445,6.873892559,7.040745753,6.728091671,7.621433929,8.067530644,7.928491631,7.545667012,7.257939812,7.091024116,6.961040732,7.534315435,6.711503788,7.469035179,6.778935558,7.481894458,6.963104901
Hsa.3228,8.559191418,8.494642065,8.705788994,8.632833417,8.171852316,8.20210328,9.068010231,8.888170731,8.236747971,8.186176556,9.246968868,8.908122856,8.742350731,8.198263629,7.749495341,7.577962339,8.675193895,8.632833417,8.66483491,8.464166937,8.394975703,8.319854913,7.728156421,7.930841283,7.934195924,8.534379451,8.379815037,8.64200859,8.614979909,8.900162716,8.477107363,8.470475857,8.61302124,8.410565556,8.605811642,8.277515387,8.680084407,7.946662952,7.691173914,8.474751997,8.559191418,8.530428363,8.168207062,7.724378522,8.949945287,8.245023588,8.298095836,7.061716978,7.900776259,8.828082214,8.234382491,8.523638464,8.017000538,6.591419795,9.225100126,7.463803841,7.365230261,8.489976761,7.163795736,7.236301267,6.654358849,8.477107363
Hsa.7395,8.822550273,8.196096796,6.677249065,8.074582605,9.615239242,9.350441283,8.791073065,8.096291783,9.94446766,8.601228036,9.596726593,8.220768372,8.625348272,9.455329209,9.326970885,9.056960172,9.649613721,8.585541692,10.21779377,9.130525311,9.062217654,8.001657892,9.039771207,8.386062732,9.76855173,9.011293544,8.222401511,9.560880714,8.488282018,8.863077682,8.538998044,7.986398089,9.787344673,9.74716214,9.056960172,9.791565449,8.481221978,10.10194857,8.64200859,9.094830707,9.113164099,8.295805217,8.449255833,9.296376362,8.21678653,9.48752272,10.25646248,7.234270451,8.541164704,8.777655147,8.65617283,10.08023944,10.00192298,8.667398873,9.014096532,9.243884942,8.040541617,9.216101605,10.08023944,8.592446789,8.184219496,8.231172396
Hsa.1485,8.623155802,9.583951994,9.708527967,9.969444316,9.554209748,8.289598749,7.731869723,8.794176865,9.887494317,8.006051844,9.008060785,9.834733283,11.08957051,9.446733478,9.777358996,8.447097894,9.653523236,8.234382491,8.527957446,7.425496123,9.708527967,9.957108362,8.7004207,7.924784733,9.331376048,10.43018679,9.662399053,9.569216174,10.71246057,8.422010493,10.97222513,9.163272287,7.904332587,9.702972223,10.79857266,9.634275318,10.17083973,8.791073065,9.809665714,10.16425877,11.54484053,9.408260565,9.702972223,8.159747663,9.873864535,8.817628415,7.288101017,9.430693992,9.459195271,10.39133472,9.28589437,9.708527967,10.43814862,10.1364287,9.418934267,9.542700835,10.32452555,10.84792936,10.60864622,10.11500294,9.319071146,10.12872777
Hsa.400,7.497428229,7.494425934,7.595513767,8.092271217,7.16540952,7.026327102,8.428452031,8.171852316,7.274010608,7.969530424,7.913684714,8.295805217,7.576518481,7.670083968,6.946585608,7.396937556,8.218927218,8.654340369,8.033139657,7.994636291,8.27537509,7.401310335,7.450806835,7.96241002,6.860656485,7.084647251,7.51606981,6.85221838,6.275556824,7.838932457,7.100791183,7.726321453,6.954485271,6.993075342,7.612936253,7.020155537,7.198657321,7.222673391,7.70162954,7.621433929,7.483794978,7.69304736,6.366164257,7.788301556,7.123944488,7.547353551,6.840140352,7.405738516,7.747976375,7.146906128,7.060099697,6.970024225,7.436426776,6.278224617,7.934195924,5.877289082,6.552212935,7.494425934,7.192571223,7.766771466,7.523967847,7.818047117
Hsa.19653,7.327599001,7.387581007,8.129558067,7.847851466,8.006051844,7.871238544,7.777172578,8.143758436,7.176279335,8.379815037,8.470475857,7.07403094,7.895054347,7.481894458,7.427064076,7.641067,7.553535161,7.447221902,7.082664136,8.115266044,7.42323115,7.621433929,8.322193486,7.921474339,7.915176794,8.260015788,8.169948432,8.025278903,8.264374493,7.994636291,7.71630504,8.27537509,7.934195924,7.966365899,7.407042936,7.461721031,8.236747971,7.986398089,7.689449095,7.461721031,7.187267455,7.20444651,7.741010227,7.595513767,7.714499241,7.680088378,7.875612627,8.092271217,7.837302381,7.396937556,7.825552793,7.262749571,7.262749571,7.525376829,8.20031725,7.834080542,7.614484257,7.202559909,7.921474339,7.802165068,6.987597767,7.251549602
