ID	CPG_ISLAND_LOCATIONS
cg05921207	X 109925492 109926221
cg05922057	17 3992394 3994372
cg05922591	19 59866287 59866802
cg05922972	15 75149637 75150769
cg05923056	14 88952030 88954146
cg05923103	1 51474171 51475283
cg05924191	15 33067119 33067406
cg05924583	1 3556965 3559547
cg05927017	18 59137551 59139457
cg05927159	4 9726260 9728208
cg05932408	20 47617506 47618253
cg05934874	18 59240097 59241420
cg05935584	X 149901718 149904046
cg05937182	7 116380314 116381832
cg05937453	10 99520826 99522150
cg05938285	3 198179686 198181793
cg05938725	1 203556798 203557785
cg05940463	1 2115419 2116596
cg05940536	12 50631093 50632275
cg05941634	2 96844895 96847091
cg05942574	17 45991032 45992454
cg05942970	10 133805370 133805647
cg05944800	2 118561997 118563032
cg05945622	11 65812671 65814062
cg05946081	1 89229946 89231632
cg05949660	6 109882585 109884615
cg05951646	3 135451546 135453218
cg05951993	19 54187974 54189084
cg05953394	7 151203544 151206370
cg05955224	19 44721890 44722954
cg05957518	14 57781031 57781849
cg05958659	5 99898740 99899654
cg05959392	10 104603815 104604550
cg05960806	11 77025998 77026768
cg05961212	3 120780808 120781649
cg05961595	X 55042997 55044182
cg05964373	15 54444620 54445216
cg05965188	21 43901841 43904974
cg05965402	4 24844447 24845501
cg05968233	19 6322885 6324791
cg05969697	9 94566021 94567801
cg05970437	19 1812684 1816048
cg05970790	18 75254093 75258104
cg05976074	19 38408044 38408719
cg05978187	14 68934091 68935629
cg05982504	16 1784796 1785119
cg05983247	15 57012404 57013602
cg05985767	15 88150397 88150795
cg05986149	17 57295416 57295922
cg05988645	16 8622733 8623629
cg05989054	19 1353612 1353877
cg05989429	19 992014 992378
cg05990214	19 53813993 53814897
cg05996238	X 55131941 55132321
cg06000781	4 15312251 15312740
cg06001166	16 1943956 1944158
cg06005396	19 540330 542851
cg06005644	5 138920606 138921991
cg06006444	4 104009246 104010212
cg06011292	17 8473448 8475817
cg06015218	6 146391972 146392561
cg06018072	15 66308170 66309441
cg06020352	16 84489299 84490591
cg06022562	17 78390950 78391529
cg06023257	11 77805452 77807215
cg06027949	8 82915812 82917588
cg06030619	16 30101812 30102938
cg06034822	1 159281352 159282834
cg06038049	1 1249363 1250498
cg06038133	17 24968557 24969595
cg06039392	4 187713092 187713983
cg06039624	16 20724922 20726367
cg06041363	22 45042080 45043683
cg06043042	10 71001367 71003520
cg06043114	1 115433219 115434231
cg06043190	2 42249648 42250470
cg06044117	11 95161970 95164163
cg06044899	4 91979042 91979302
cg06044900	20 56896598 56901302
cg06048156	17 42685764 42686956
cg06049972	3 48621321 48623163
cg06051662	X 152747206 152750047
cg06055013	10 116842092 116844180
cg06057707	X 52403737 52403947
cg06058319	12 27567877 27568602
cg06058597	2 10746991 10748581
cg06061892	20 17896568 17898300
cg06062132	6 76367925 76369412
cg06063714	1 1940146 1941402
cg06063729	3 50349160 50350983
cg06066711	1 6584201 6586892
cg06069187	17 23722339 23723854
cg06069731	6 26150975 26151860
cg06071083	16 66559289 66561677
cg06073471	3 102980346 102981488
cg06076054	21 18112769 18114063
cg06077733	10 59764560 59765471
cg06084557	14 92868297 92869693
cg06084735	8 110414912 110416202
cg06087537	9 36390127 36391489
cg06088032	3 50357771 50358563
cg06088314	2 201438458 201438843
cg06090351	1 242680951 242682337
cg06090421	17 56031692 56033252
cg06090630	16 2766426 2767816
cg06090864	19 40534185 40534682
cg06092815	2 228754274 228755173
cg06093279	8 17702339 17703730
cg06095560	19 52325640 52327194
cg06100291	1 36007348 36008543
cg06100991	4 111338089 111339724
cg06101212	7 72821164 72823137
cg06101225	1 47552179 47553679
cg06105085	10 73645368 73646391
cg06106793	1 155003384 155004831
cg06109724	10 12277360 12278665
cg06110365	22 41912384 41913940
cg06110728	12 43555514 43557285
cg06111305	13 96882931 96885277
cg06112415	2 27195000 27195770
cg06114765	21 16023648 16024979
cg06121469	15 42742455 42743439
cg06122080	3 25806253 25806844
cg06132324	6 43650901 43652163
cg06132342	12 51046994 51047538
cg06132694	4 119173740 119174714
cg06134936	10 69504225 69505380
cg06138027	9 85783865 85786395
cg06139836	10 131651113 131653881
cg06140118	16 66613904 66615043
cg06141123	2 177836370 177838567
cg06142324	11 124310692 124310920
cg06143901	20 538102 539417
cg06145308	7 134844835 134846009
cg06146910	13 40604014 40605190
cg06148175	11 67174436 67174737
cg06148264	6 2786450 2787414
cg06150468	1 210938926 210941332
cg06151165	20 25009572 25011060
cg06151964	19 40223056 40223277
cg06154570	1 39877450 39878424
cg06156376	3 159305364 159308002
cg06161738	7 151353144 151354301
cg06161930	19 61323502 61325010
cg06162003	17 75365487 75367490
cg06162422	X 100549381 100550325
cg06165395	1 37270866 37273461
cg06166863	14 38713363 38714910
cg06168050	17 27700991 27701895
cg06168324	2 161057310 161058952
cg06168449	19 43406285 43407155
cg06171242	6 24774415 24775637
cg06171787	11 59333819 59335140
cg06173079	22 17273314 17274483
cg06175025	14 77152233 77153072
cg06177698	X 151556515 151558106
cg06177968	5 140024123 140025798
cg06179485	1 33139063 33140371
cg06186861	3 44745791 44746449
cg06186973	7 75825320 75826949
cg06187947	2 188864480 188866161
cg06188683	15 66896402 66901142
cg06189133	19 17792758 17793397
cg06189265	1 172102874 172104691
cg06189653	5 176805904 176807374
cg06190053	9 70161177 70162614
cg06191076	1 68288302 68289231
cg06191203	2 151973976 151975631
cg06191990	12 56462592 56463089
cg06192619	19 14944390 14944752
cg06192753	19 12927995 12929722
cg06193382	6 136612616 136613545
cg06197006	17 1305389 1307156
cg06197492	11 1973035 1973716
cg06200013	17 7494494 7496173
cg06200339	5 157010783 157012260
cg06201642	1 77105545 77107361
cg06202984	9 97118863 97120158
cg06207460	9 4730556 4731953
cg06207804	1 44171543 44171935
cg06211616	11 2879777 2880396
cg06211871	1 40769658 40770225
cg06212607	1 233556650 233559485
cg06214729	19 18802953 18804660
cg06215939	16 1694979 1696970
cg06216677	9 35593552 35594397
cg06218044	6 105956741 105958075
cg06220235	16 11255994 11258397
cg06220521	13 94051444 94052741
cg06221259	5 137802353 137803036
cg06222120	3 3143174 3144305
cg06222851	10 50639574 50640711
cg06225581	5 140059986 140060858
cg06230736	10 8135268 8138450
cg06233473	6 117108693 117110231
cg06233503	11 2768881 2770074
cg06235991	22 39930321 39931565
cg06236276	6 160600019 160600273
cg06236748	11 71613183 71614046
cg06237414	1 153444834 153445773
cg06240124	16 23597220 23598314
cg06240542	11 60885448 60887252
cg06240849	1 46956670 46957806
cg06242827	8 87423521 87424852
cg06243556	19 63301096 63301898
cg06244906	19 61998334 61999073
cg06245154	19 50564855 50566053
cg06247172	6 34324270 34325442
cg06248182	17 24205926 24206553
cg06250108	2 216654392 216655381
cg06251129	1 154256966 154257561
cg06251489	4 26471005 26472489
cg06252382	9 114952740 114953805
cg06252849	5 76361709 76362782
cg06253072	6 33786897 33787849
cg06253734	15 56828217 56829735
cg06254453	6 26357862 26358931
cg06255227	20 62207758 62208595
cg06255524	13 95126646 95128025
cg06263495	11 2246594 2249861
cg06268694	22 45307876 45313678
cg06269001	20 25123854 25125055
cg06269753	8 72918220 72919616
cg06273569	7 74994402 74995962
cg06273903	X 118591805 118593375
cg06274159	4 189153056 189154305
cg06276114	11 101722617 101723635
cg06277481	19 8313528 8314520
cg06277657	7 137181541 137183087
cg06279414	14 91575587 91576625
cg06281719	6 24882876 24883803
cg06281795	8 91163956 91164434
cg06282240	13 24394407 24395413
cg06284244	18 801478 803239
cg06284322	5 140679977 140680966
cg06285486	11 65485105 65486409
cg06286028	10 103814769 103815824
cg06288351	20 43162871 43163401
cg06288632	2 27210311 27211705
cg06289589	20 9963312 9964036
cg06290168	12 109390152 109392093
cg06291334	17 45109732 45110886
cg06291595	14 74029290 74030850
cg06291867	10 92606622 92608182
cg06292277	4 170777671 170778516
cg06293195	22 35207277 35208660
cg06295404	16 11255994 11258397
cg06295856	11 14949913 14950639
cg06296021	5 133730369 133731314
cg06297145	4 47610480 47611802
cg06302803	5 138637073 138637943
cg06303238	20 49850215 49852803
cg06305312	1 19510625 19512011
cg06307169	17 35549844 35550797
cg06307422	15 57066943 57067932
cg06307601	8 131020367 131021980
cg06308323	9 34449522 34449765
cg06310489	X 52752914 52753142
cg06310844	19 37763279 37764757
cg06311778	12 51726741 51728017
cg06312477	1 226070331 226070714
cg06318164	9 130749001 130751149
cg06320982	16 57275786 57276390
cg06321883	6 70633025 70633404
cg06323427	3 168934923 168935679
cg06324048	20 56860042 56860698
cg06324094	1 152216324 152217290
cg06325346	19 58452819 58453135
cg06330324	22 29361325 29362256
cg06330621	16 86081665 86084844
cg06331674	7 32501195 32502174
cg06333435	8 22157862 22159202
cg06334093	6 139136077 139136798
cg06334284	1 56816553 56817949
cg06334496	8 75050629 75051563
cg06335814	18 28303951 28305514
cg06335889	20 31541034 31542466
cg06336792	10 35455329 35457181
cg06339657	5 76541665 76543102
cg06341721	19 1357198 1360039
cg06344807	17 70255432 70257599
cg06346081	1 42693418 42695251
cg06347928	2 162882980 162883572
cg06350796	X 106335539 106336710
cg06353948	9 134219374 134221221
cg06356454	2 241279986 241280188
cg06357925	12 15366460 15367398
cg06358566	2 88771793 88773161
cg06361108	16 2418535 2420118
cg06362985	12 68418350 68419982
cg06363801	X 133876245 133877098
cg06366981	4 175679793 175680562
cg06367117	17 23928031 23928251
cg06369854	12 46584581 46585908
cg06374075	17 40191182 40192471
cg06376129	1 203446453 203447711
cg06377278	1 25127692 25131906
cg06378357	12 122507925 122509768
cg06378976	6 41809738 41811604
cg06379754	7 81909881 81911571
cg06380007	15 39194980 39196329
cg06381133	6 41855265 41856731
cg06382459	1 2148054 2151158
cg06383088	9 99498814 99499776
cg06384026	11 69793264 69795299
cg06384463	1 90954376 90957242
cg06384491	X 57180226 57180702
cg06385087	20 57015249 57016051
cg06386517	7 50827590 50829211
cg06386533	2 46778757 46780633
cg06391468	17 67627458 67632236
cg06392241	12 92295280 92296863
cg06392426	19 10537177 10538183
cg06393290	4 992786 996549
cg06394897	1 33274621 33275439
cg06397510	1 32175625 32177098
cg06397837	7 27205123 27206974
cg06403126	8 26204544 26205662
cg06405090	22 41912384 41913940
cg06405206	17 45007709 45009511
cg06409153	17 64834269 64835587
cg06414605	3 195336279 195336780
cg06416685	X 99777810 99778604
cg06417705	2 67477702 67478523
cg06417962	11 495635 498135
cg06418184	9 34609987 34610738
cg06418219	1 153214608 153215006
cg06418878	11 116148339 116149455
cg06419771	15 40051028 40052604
cg06420088	1 153429978 153431971
cg06421707	20 25175901 25177493
cg06421800	9 21995095 21996291
cg06422693	4 48527471 48528451
cg06422910	7 130003428 130004668
cg06423920	3 62333884 62335038
cg06424894	15 43101629 43102911
cg06425556	20 32876384 32877447
cg06425868	20 43895503 43896653
cg06426831	1 100207773 100208784
cg06428055	X 129071186 129073330
cg06428195	10 101180182 101181322
cg06429195	3 16620846 16622270
cg06433995	6 13722713 13724360
cg06434451	1 32573266 32574965
cg06437004	12 21701263 21702186
cg06437862	13 18653806 18654153
cg06438300	12 60870877 60872947
cg06438404	16 84389618 84391523
cg06440646	4 146622033 146623559
cg06444781	12 119900805 119901025
cg06449653	1 23542569 23544090
cg06452064	7 23537186 23539238
cg06452647	12 48247578 48248923
cg06454084	19 51850072 51850378
cg06456512	15 66896402 66901142
cg06457357	X 56275567 56276077
cg06458239	19 62730278 62731195
cg06459066	14 63923833 63925216
cg06459327	15 32421313 32422837
cg06461769	18 9323396 9325450
cg06462703	12 131939857 131940762
cg06463913	11 196870 199264
cg06465021	5 127446324 127448604
cg06465926	3 137166766 137168241
cg06466797	7 35700341 35701632
cg06469542	14 77034200 77035952
cg06470552	10 112316874 112318442
cg06470943	1 40611667 40612799
cg06471905	17 40191182 40192471
cg06473539	1 160305728 160306809
cg06476337	5 52892118 52892709
cg06479426	20 60743590 60745402
cg06479512	6 160140818 160141595
cg06481786	17 31281668 31282105
cg06484397	9 36126141 36127347
cg06487986	1 7765900 7767854
cg06489418	X 48219051 48220161
cg06489804	19 12667812 12668845
cg06490162	16 15889635 15890212
cg06490951	18 570046 571049
cg06490988	3 129693171 129695283
cg06491116	11 117627891 117628420
cg06491924	19 57121585 57123111
cg06492206	1 167721011 167722320
cg06493080	17 44042446 44044200
cg06493386	8 73149852 73150676
cg06493994	6 25760176 25760849
cg06494782	12 51280885 51281747
cg06495924	8 145220874 145222582
cg06496078	12 105872665 105874359
cg06497752	20 60918098 60919487
cg06497795	12 54797899 54798862
cg06498267	5 45730846 45732499
cg06499565	20 34807139 34808231
cg06499652	11 13254978 13257423
cg06500079	17 563669 565803
cg06502510	21 33935640 33936260
cg06502868	17 71286220 71287765
cg06504820	14 100261944 100263514
cg06505666	2 113238139 113239165
cg06506156	2 3360293 3361148
cg06507645	13 52124197 52125526
cg06508445	5 121440312 121442369
cg06508934	17 74432198 74433640
cg06509239	2 19420844 19422387
cg06510830	21 32572667 32573825
cg06513075	11 34083260 34084321
cg06516124	11 32406516 32407359
cg06516650	11 82460585 82461287
cg06518779	13 102248769 102251333
cg06521280	10 75340574 75341453
cg06521852	22 36471324 36473042
cg06528936	1 37833821 37834488
cg06530118	16 28410172 28411134
cg06532147	X 154342420 154343426
cg06532176	16 76690521 76691733
cg06532493	10 59698625 59699481
cg06533629	7 130068319 130069940
cg06534172	19 14389606 14391663
cg06534422	22 22566156 22567746
cg06537230	7 96490825 96492388
cg06537829	17 16223953 16225615
cg06538003	2 68547388 68548697
cg06539449	11 69170075 69170635
cg06539804	20 2728596 2730091
cg06540105	2 132001549 132003103
cg06540636	19 48863470 48866466
cg06540715	13 110364309 110366416
cg06540941	1 169977107 169978593
cg06542614	10 97039852 97041246
cg06543018	3 140740275 140741996
cg06543761	8 94997563 94999462
cg06544198	6 10830982 10831794
cg06545845	1 200379684 200380905
cg06546607	19 38703971 38704924
cg06552037	2 220142916 220144549
cg06552050	12 10765861 10767630
cg06554069	19 5573219 5575519
cg06554542	12 100748121 100749124
cg06554928	17 4791617 4794773
cg06557358	17 29930050 29933430
cg06557606	8 54917618 54918794
cg06564900	2 164300616 164301784
cg06566994	3 44571362 44572140
cg06567342	1 71318752 71319748
cg06567423	11 124967457 124968616
cg06572160	19 55522929 55526307
cg06575572	22 44083482 44085479
cg06577005	1 26630409 26631714
cg06577463	17 75734657 75737371
cg06577658	19 50987229 50988310
cg06577725	3 174341533 174341882
cg06580318	2 169454814 169455441
cg06583518	19 42776900 42778172
cg06585027	1 149566293 149566874
cg06585108	10 134521511 134521756
cg06586599	19 7493113 7493911
cg06587969	17 7532080 7532868
cg06588247	14 102312745 102314619
cg06590533	20 54367085 54368466
cg06590610	7 50411750 50412000
cg06593568	1 211031317 211032562
cg06594008	22 39361711 39363677
cg06595693	15 38437199 38438478
cg06598631	6 88356208 88356945
cg06600412	4 185891393 185892666
cg06600447	19 18529374 18530360
cg06602857	16 85098762 85102716
cg06605933	1 148137537 148138641
cg06606198	12 122651608 122653148
cg06607866	11 67006002 67007558
cg06609049	19 2735746 2737444
cg06609475	5 1854069 1855050
cg06611310	2 48520890 48521959
cg06611744	13 26742138 26743705
cg06612452	1 20832279 20833268
cg06613840	3 49369777 49371045
cg06615667	9 131855507 131856709
cg06615861	1 10192427 10194179
cg06616147	6 53034004 53034928
cg06618866	4 154824360 154825668
cg06619076	8 62788894 62790214
cg06620254	X 70419680 70420864
cg06621126	16 65754160 65755807
cg06621358	3 48673149 48675693
cg06622725	11 45895794 45896963
cg06623268	1 45577479 45578916
cg06624832	17 70283664 70284536
cg06625414	2 220200232 220201178
cg06625811	1 168310096 168310758
cg06626655	1 37871744 37873510
cg06628693	1 84315639 84317024
cg06630241	12 92490435 92491891
cg06630737	1 11673114 11675342
cg06632528	11 63750004 63750597
cg06634267	6 7535226 7536100
cg06636246	10 98581507 98583427
cg06636463	2 15649146 15649925
cg06637774	11 72653070 72653635
cg06637893	16 66257367 66258718
cg06638012	5 132326550 132328103
cg06638433	17 44427641 44431137
cg06638966	6 70633025 70633404
cg06642617	2 73313543 73315653
cg06643227	9 113597023 113597512
cg06645778	2 64533757 64533957
cg06646021	1 227473076 227474153
cg06649520	4 153919556 153921100
cg06650786	19 15171405 15173562
cg06653796	20 61838140 61838445
cg06654134	2 46697037 46698120
cg06654447	9 138804922 138805896
cg06655089	3 49041511 49042180
cg06655504	17 54652359 54653533
cg06656924	6 35334553 35336300
cg06657741	X 134895007 134896000
cg06659073	6 158508812 158510146
cg06659128	X 154495152 154496060
cg06661765	19 12966614 12968816
cg06665799	5 176951496 176952320
cg06665941	21 33523796 33524979
cg06665984	14 91575587 91576625
cg06666486	7 6064761 6066140
cg06667091	6 100124143 100124785
cg06668073	20 6051113 6052081
cg06668300	2 95054441 95056349
cg06672652	1 202096417 202097856
cg06675478	13 111768043 111771727
cg06675496	2 24436023 24437194
cg06677140	4 4912015 4913147
cg06677660	19 53832034 53833509
cg06679221	3 9379495 9380189
cg06682185	18 59308015 59308744
cg06682978	6 17501637 17502709
cg06684910	16 22215847 22217308
cg06688848	16 55776830 55778529
cg06689536	16 2418535 2420118
cg06690548	4 139382255 139382463
cg06690633	14 64508095 64509247
cg06691299	X 46961917 46964060
cg06692957	9 79835232 79837484
cg06695761	7 94122326 94124641
cg06698742	11 85036393 85036959
cg06699365	11 59139026 59140690
cg06700265	12 12605629 12607427
cg06700462	X 18911769 18913306
cg06701500	2 9687407 9689172
cg06707338	2 206731983 206733391
cg06707886	7 881998 884494
cg06708560	17 37423499 37423699
cg06710522	17 43263514 43264220
cg06712026	10 53128914 53129799
cg06713098	7 45926064 45928161
cg06716436	19 10201715 10203421
cg06717104	10 51292961 51294045
cg06717231	19 9295595 9296155
cg06718696	17 75734657 75737371
cg06719391	11 2510592 2511245
cg06720424	5 176365303 176367012
cg06720956	15 50867146 50871219
cg06722216	18 30056047 30057926
cg06722633	1 37270866 37273461
cg06722792	21 42946154 42947773
cg06725035	21 46879361 46880668
cg06725760	10 1091673 1093370
cg06726207	14 60257713 60261032
cg06728335	16 2257061 2259637
cg06730468	19 53558866 53559548
cg06731484	15 38484911 38485803
cg06731599	X 40324583 40325764
cg06734828	16 14975834 14977414
cg06734962	8 48811722 48814342
cg06736444	16 2741471 2743551
cg06738602	14 51850265 51852038
cg06740897	17 43479599 43481577
cg06742978	12 48737100 48738284
cg06743811	15 21482512 21483863
cg06744574	1 49014515 49015712
cg06746101	15 77390102 77391097
cg06746171	5 151118027 151118822
cg06747888	2 161978964 161980178
cg06751597	15 40574846 40575481
cg06752594	1 109627072 109627816
cg06754047	2 73294231 73295426
cg06755819	11 32068513 32070717
cg06758848	X 153255813 153256571
cg06759215	17 40141317 40142302
cg06760035	17 44009922 44011032
cg06763078	11 17712319 17714962
cg06765434	18 52456277 52457277
cg06765514	9 129728977 129729967
cg06766367	16 65619963 65621646
cg06776256	12 12934727 12935045
cg06777274	18 46658944 46660293
cg06777581	6 37429468 37430802
cg06777715	5 81303168 81304278
cg06778853	1 6594739 6598463
cg06779945	6 138229384 138230984
cg06780358	11 47957874 47959889
cg06781209	11 61351428 61353478
cg06782692	10 133970400 133972595
cg06782849	3 133923089 133924661
cg06783668	2 71058003 71058288
cg06784339	7 139824612 139826100
cg06786424	6 3966265 3967186
cg06790275	15 66133216 66134577
cg06790324	7 50827590 50829211
cg06791102	X 152844562 152845097
cg06792598	1 205560685 205562246
cg06792911	1 43195878 43197635
cg06797533	9 19116670 19118585
cg06799664	17 74078474 74078828
cg06803184	1 239749013 239749953
cg06804431	1 144227247 144228152
cg06804711	18 54489080 54490371
cg06806080	3 109291782 109293577
cg06807379	19 3921045 3922518
cg06807579	3 52004630 52005612
cg06807989	3 113287406 113288434
cg06808983	17 39503295 39504158
cg06809565	X 152888395 152891833
cg06810647	16 1603805 1605178
cg06811800	13 113359799 113360176
cg06812033	16 49138807 49141047
cg06812977	10 90332428 90333216
cg06815666	19 59310327 59311699
cg06815817	7 148567400 148568375
cg06816063	19 16082001 16084283
cg06816106	2 28886410 28888374
cg06816161	7 148211239 148213876
cg06817264	11 66092032 66092973
cg06817917	10 88505306 88507328
cg06818415	6 33485710 33487259
cg06818473	17 78248621 78250662
cg06818777	17 45900488 45902050
cg06819200	1 21488860 21489771
cg06821120	3 50349160 50350983
cg06821274	1 154256966 154257561
cg06821993	8 114518007 114518526
cg06822229	X 108862355 108863655
cg06823263	1 159281352 159282834
cg06824727	14 23838379 23839676
cg06825142	11 626306 627963
cg06827038	17 46267834 46268037
cg06830426	19 63589408 63591119
cg06831658	12 92487620 92490276
cg06832039	7 152741835 152742210
cg06833562	1 85946159 85946937
cg06834261	2 203484348 203484609
cg06834875	14 99180849 99181899
cg06836338	17 17882666 17884335
cg06836736	6 84197000 84198161
cg06836772	1 56882948 56884107
cg06837731	10 101935502 101936202
cg06838394	20 46970931 46972197
cg06839953	1 27520471 27521720
cg06840042	3 12573122 12574135
cg06840226	2 241022964 241025145
cg06840239	11 62294247 62296026
cg06848288	6 79843299 79845356
cg06849227	17 58953345 58953593
cg06850526	17 76884351 76884564
cg06851207	19 51666325 51667046
cg06856528	2 192767148 192769234
cg06859828	1 6448532 6449318
cg06862062	4 8493179 8494151
cg06862644	17 3321498 3322570
cg06864275	19 1124197 1125873
cg06866657	9 124030014 124031407
cg06866862	2 27659123 27659757
cg06869899	2 27966400 27967788
cg06871974	7 47545432 47545633
cg06872381	12 7755307 7755517
cg06873352	17 59173401 59174095
cg06874144	2 231284634 231285152
cg06878726	12 112888021 112888895
cg06880557	13 102222501 102225060
cg06883149	18 46155110 46155708
cg06885524	2 172086881 172088589
cg06885782	1 41020749 41021025
cg06886022	9 139213952 139215656
cg06887167	12 118798894 118799859
cg06887170	14 93665608 93666008
cg06887414	3 129851499 129852999
cg06887663	14 61298598 61299283
cg06890553	19 49247622 49248420
cg06892726	6 26195472 26195955
cg06893980	6 170703923 170704517
cg06894381	1 67291676 67292906
cg06894812	5 112657852 112658783
cg06896207	19 2046287 2048579
cg06898923	10 27832910 27833948
cg06899582	X 129229862 129230813
cg06899802	5 148910326 148911693
cg06899808	X 151617742 151618072
cg06899976	5 140411055 140412167
cg06900776	X 100764592 100765929
cg06901392	13 30632946 30634761
cg06904813	X 151990675 151993000
cg06905514	7 44330839 44332219
cg06908474	11 34416588 34417548
cg06908778	10 22673932 22675060
cg06910048	11 111450152 111450755
cg06911084	7 96490825 96492388
cg06911113	1 20384918 20385413
cg06912252	9 103287963 103289481
cg06913228	6 90118529 90120119
cg06914598	7 5051158 5051684
cg06915165	12 10255696 10257983
cg06918467	6 137855863 137857514
cg06919067	16 27176152 27176433
cg06919956	9 139565286 139566854
cg06921282	11 524548 527768
cg06922130	1 44977582 44978780
cg06926735	20 48165777 48166183
cg06930095	15 83059574 83061459
cg06937608	15 87146934 87148303
cg06938406	12 119359820 119360842
cg06938878	11 15050286 15050996
cg06940574	1 6217926 6219853
cg06940792	5 126653575 126654899
cg06942110	7 1511890 1512098
cg06942445	X 54964000 54965325
cg06943865	7 94131111 94132325
cg06944050	X 117992368 117994694
cg06945625	6 2915993 2917459
cg06948294	14 24587873 24589587
cg06948408	1 43508972 43509201
cg06949789	3 23932856 23934673
cg06952117	2 191220654 191222830
cg06952236	15 36643533 36645139
cg06953304	3 42616673 42617968
cg06953768	5 134209294 134210273
cg06953995	9 111581856 111582622
cg06954481	2 236740341 236743648
cg06956646	14 49767390 49768800
cg06957329	17 53282199 53282987
cg06958034	1 23218216 23219536
cg06958537	21 39098731 39100684
cg06958829	17 45900488 45902050
cg06963844	1 11646573 11647622
cg06971096	2 219881750 219882661
cg06973652	17 38531525 38532730
cg06973760	18 75254093 75258104
cg06974755	9 134985740 134986902
cg06975499	17 38149847 38150897
cg06975739	6 33388992 33390235
cg06976977	4 74153705 74154665
cg06979034	7 143682893 143683672
cg06980053	3 50349160 50350983
cg06980380	2 25749037 25750685
cg06980460	11 49187075 49187371
cg06981182	10 90332428 90333216
cg06983551	2 111151650 111153036
cg06985415	10 133805370 133805647
cg06987504	8 109329651 109330432
cg06990298	17 17338825 17341205
cg06990379	1 98158691 98159431
cg06992027	1 158160937 158162174
cg06993413	15 63596394 63597384
cg06994747	19 8580355 8582070
cg06994793	5 139998882 139999854
cg06995715	16 85169562 85171358
cg06999776	2 74734513 74735717
cg07000551	15 38187782 38188781
cg07000785	1 67923077 67924995
cg07000831	13 48916005 48916832
cg07004820	2 70633222 70635161
cg07005513	11 61351428 61353478
cg07006042	3 143077035 143079116
cg07006526	22 29806838 29807616
cg07007400	12 50912973 50913926
cg07008386	20 8060218 8062345
cg07011445	10 123723777 123724979
cg07013734	11 100958378 100959962
cg07015079	1 144259943 144260817
cg07015629	2 213109348 213112340
cg07016325	14 96037721 96039399
cg07017374	13 27571646 27573333
cg07017477	1 150148293 150149215
cg07020407	5 323920 325990
cg07020962	18 30875037 30875871
cg07022885	11 46594996 46596166
cg07027513	18 27518086 27520052
cg07027685	9 94095526 94096747
cg07028533	7 145443587 145445242
cg07029998	1 11244663 11245679
cg07031532	15 62782109 62782898
cg07031996	1 38097247 38097500
cg07033083	7 72062423 72063816
cg07034269	2 128564958 128565844
cg07034561	21 42788948 42790415
cg07035740	5 175989007 175990778
cg07036530	10 125415200 125416731
cg07036775	1 144181455 144182141
cg07038400	3 137166766 137168241
cg07038617	7 150554588 150555904
cg07038887	17 25642322 25643703
cg07048066	5 137395699 137397068
cg07048351	3 151746137 151747524
cg07049929	14 73838948 73839662
cg07050831	7 138675096 138676960
cg07051140	5 177591693 177592655
cg07051960	19 47191425 47191661
cg07052087	12 6846527 6847837
cg07052387	14 61231319 61233018
cg07053469	19 44714394 44715584
cg07054095	19 62730278 62731195
cg07054526	17 38525979 38526990
cg07054641	3 114642854 114643339
cg07054788	1 93069912 93070903
cg07057831	12 129888808 129890323
cg07059052	16 2768015 2768351
cg07059360	8 22157862 22159202
cg07059403	6 169893177 169894370
cg07059875	2 47449542 47451715
cg07061913	10 74676439 74677341
cg07063745	2 211049173 211049901
cg07064406	20 42946466 42946675
cg07065941	8 103736882 103738535
cg07066326	11 899845 901817
cg07067241	3 143925285 143926748
cg07068616	7 103635418 103636016
cg07070694	14 72562943 72563920
cg07070934	1 35030967 35031557
cg07070940	X 7075533 7076875
cg07071881	22 31200044 31201506
cg07072140	20 25551644 25553461
cg07073964	19 649323 649682
cg07074571	6 161615380 161615582
cg07075930	18 7556410 7558998
cg07076342	6 43089138 43090191
cg07077459	6 144370510 144371695
cg07078114	9 138725930 138727511
cg07080007	17 38403639 38404585
cg07080358	2 68399390 68400827
cg07080946	16 219831 220087
cg07081888	19 61052936 61054992
cg07082331	1 40026174 40027831
cg07084161	8 91065415 91066264
cg07084163	5 36102492 36102714
cg07086380	5 118718928 118720025
cg07086898	10 105144966 105146634
cg07090813	1 120055842 120057508
cg07091958	15 39495999 39497411
cg07092725	14 62638333 62638701
cg07093046	1 235024841 235026014
cg07098866	15 64331137 64333473
cg07099407	6 43134750 43135991
cg07099627	19 11326876 11327647
cg07102705	5 148013473 148014289
cg07103493	5 128328505 128329501
cg07103819	8 145520726 145522671
cg07104706	13 83354079 83354687
cg07105440	3 50623893 50625025
cg07109287	9 125813052 125815466
cg07109670	8 124153730 124155870
cg07109801	3 49032563 49032797
cg07112154	17 39339717 39340797
cg07113600	13 73605812 73608607
cg07114024	15 38519669 38522046
cg07114894	16 70053101 70053892
cg07115304	20 308914 310976
cg07115558	19 2979519 2980562
cg07118243	12 93377357 93378515
cg07118638	8 8897518 8898275
cg07122126	19 63481465 63482893
cg07122495	4 185891393 185892666
cg07123069	12 52652893 52656105
cg07125009	16 30528212 30529523
cg07125123	8 103319853 103321370
cg07125991	12 112279838 112281302
cg07126839	17 71772546 71773929
cg07127225	19 54708027 54708589
cg07127957	10 75081537 75081737
